"","x"
"489","Latonotoechia"
"490","Lazutkinia"
"491","Leiorhynchoidea"
"492","Leiorhynchus"
"493","Lenatoechia"
"494","Lepidocyclus"
"495","Lepidorthis"
"496","Lepidospirifer"
"497","Leptathyris"
"498","Leptocoelia"
"499","Leptocoelina"
"500","Levenea"
"501","Levenolasma"
"502","Leviconchidiella"
"503","Levigatella"
"504","Libyaerhynchus"
"505","Licharewia"
"506","Lievinella"
"507","Limbatrypa"
"508","Linguopugnoides"
"509","Linoporella"
"510","Liocoelia"
"511","Lirellaria"
"512","Lissatrypa"
"513","Lissocoelina"
"514","Lissorhynchia"
"515","Liufaia"
"516","Ljudmilispirifer"
"517","Loborina"
"518","Lochengia"
"519","Loganella"
"520","Lorangerella"
"521","Losvia"
"522","Lycophoria"
"523","Lysigypa"
"524","Machaeraria"
"525","Macropleura"
"526","Madarosia"
"527","Maorielasma"
"528","Marinurnula"
"529","Markitoechia"
"530","Marklandella"
"531","Martinia"
"532","Martiniopsis"
"533","Martinothyris"
"534","Mauispirifer"
"535","Mcewanella"
"536","Mediospirifer"
"537","Meganteris"
"538","Meifodia"
"539","Mendacella"
"540","Merista"
"541","Meristella"
"542","Meristelloides"
"543","Meristina"
"544","Meristorygma"
"545","Meristospira"
"546","Mesochorispira"
"547","Mesopunctia"
"548","Metaplasia"
"549","Metorthis"
"550","Metriolepis"
"551","Micidus"
"552","Mimaria"
"553","Mimatrypa"
"554","Mimella"
"555","Miniprokopia"
"556","Minirostrella"
"557","Minysphenia"
"558","Mirifusella"
"559","Mirorthis"
"560","Molongella"
"561","Molongia"
"562","Monadotoechia"
"563","Monelasmina"
"564","Mongolina"
"565","Monorthis"
"566","Moorefieldella"
"567","Moravilla"
"568","Mucrospirifer"
"569","Multicostella"
"570","Muriferella"
"571","Mutationella"
"572","Myodelthyrium"
"573","Myopugnax"
"574","Myriospirifer"
"575","Myrmirhynx"
"576","Mystrophora"
"577","Nahoniella"
"578","Najadospirifer"
"579","Nalivkinaria"
"580","Nalivkinia"
"581","Nanorthis"
"582","Nanothyris"
"583","Nanukidium"
"584","Navispira"
"585","Nebenothyris"
"586","Nemesa"
"587","Neoglobithyris"
"588","Neomunella"
"589","Neopsilocamara"
"590","Neospirifer"
"591","Neospirigerina"
"592","Neostrophia"
"593","Nepasitoechia"
"594","Nereidella"
"595","Newberria"
"596","Nicolella"
"597","Nicoloidea"
"598","Nikiforovaena"
"599","Niorhynx"
"600","Nipponirhynchia"
"601","Nordotoechia"
"602","Notanoplia"
"603","Nothorthis"
"604","Notoconchidium"
"605","Notoparmella"
"606","Notospirifer"
"607","Notothyrina"
"608","Notothyris"
"609","Nucleospira"
"610","Nymphorhynchia"
"611","Obesaria"
"612","Occidalia"
"613","Ogilviecoelia"
"614","Ogilviella"
"615","Oglu"
"616","Oglupes"
"617","Oligothyrina"
"618","Onniella"
"619","Orbicoelia"
"620","Orientospirifer"
"621","Oriskania"
"622","Orthambonites"
"623","Orthidiella"
"624","Orthidium"
"625","Orthis"
"626","Orthospirifer"
"627","Orthostrophella"
"628","Orthostrophia"
"629","Orthotichia"
"630","Orulgania"
"631","Otospirifer"
"632","Ovispirifer"
"633","Pachycyrtella"
"634","Pachyplax"
"635","Pachyplaxoides"
"636","Paeckelmanella"
"637","Papulinella"
"638","Paracrurithyris"
"639","Paralenorthis"
"640","Parallelora"
"641","Paranorella"
"642","Paraphorhynchus"
"643","Parapugnax"
"644","Paraspirifer"
"645","Paraspiriferina"
"646","Parastrophina"
"647","Parastrophinella"
"648","Parathyrisina"
"649","Parazyga"
"650","Parenteletes"
"651","Parisorthis"
"652","Parmorthina"
"653","Parmula"
"654","Paucicrura"
"655","Paulinella"
"656","Paurorhyncha"
"657","Paurorthis"
"658","Peleicostella"
"659","Peltichia"
"660","Pentamerella"
"661","Pentameroides"
"662","Pentamerus"
"663","Pentlandella"
"664","Penzhinella"
"665","Perditocardinia"
"666","Permasyrinx"
"667","Permicola"
"668","Permospirifer"
"669","Petasmatherus"
"670","Phoenicitoechia"
"671","Phragmophora"
"672","Phragmorthis"
"673","Phrenophoria"
"674","Phricodothyris"
"675","Pinegathyris"
"676","Pinguaella"
"677","Pinguispirifer"
"678","Pionodema"
"679","Plaesiomys"
"680","Plagiorhyncha"
"681","Planalvus"
"682","Planatrypa"
"683","Planicardinia"
"684","Planovatirostrum"
"685","Platyorthis"
"686","Platyrachella"
"687","Platyspirifer"
"688","Platyterorhynchus"
"689","Plectatrypa"
"690","Plectelasma"
"691","Plectorthis"
"692","Plectospira"
"693","Plectothyrella"
"694","Pleiopleurina"
"695","Plekonella"
"696","Pleurelasma"
"697","Pleurocornu"
"698","Pleurodium"
"699","Pleuropugnoides"
"700","Pleurorthis"
"701","Pleurothyrella"
"702","Plicathyris"
"703","Plicidium"
"704","Plicocyrtia"
"705","Plicocyrtina"
"706","Plicogypa"
"707","Plicoplasia"
"708","Podolella"
"709","Podtsheremia"
"710","Pondospirifer"
"711","Pontielasma"
"712","Pontisia"
"713","Porambonites"
"714","Porostictia"
"715","Posicomta"
"716","Pradoia"
"717","Praeangustothyris"
"718","Praegnantenia"
"719","Prelissorhynchia"
"720","Primorewia"
"721","Prionothyris"
"722","Pripyatispirifer"
"723","Proboscidina"
"724","Proconchidium"
"725","Prodavidsonia"
"726","Productorthis"
"727","Prokopia"
"728","Propriopugnus"
"729","Proschizophoria"
"730","Prospira"
"731","Prosserella"
"732","Protathyris"
"733","Protatrypa"
"734","Proteorthis"
"735","Protocortezorthis"
"736","Protoskenidioides"
"737","Protozeuga"
"738","Pseudoatrypa"
"739","Pseudodielasma"
"740","Pseudojisuina"
"741","Pseudolabaia"
"742","Pseudolowenstamia"
"743","Pseudomendacella"
"744","Pseudoparazyga"
"745","Pseudopentagonia"
"746","Pseudoprotathyris"
"747","Pseudosieberella"
"748","Pseudosyrinx"
"749","Pseudowellerella"
"750","Psilocamara"
"751","Pteroplecta"
"752","Pterospirifer"
"753","Ptilotorhynchus"
"754","Ptychomaletoechia"
"755","Ptychopleurella"
"756","Ptygmactrum"
"757","Pugnax"
"758","Pugnoides"
"759","Punctatrypa"
"760","Punctospirifer"
"761","Punctothyris"
"762","Punctspinatrypa"
"763","Purdonella"
"764","Pustuloplica"
"765","Pyandzhelasma"
"766","Qinglongia"
"767","Quadrithyrina"
"768","Quadrithyris"
"769","Quadrospira"
"770","Quasimartinia"
"771","Rackirhynchia"
"772","Radiatrypa"
"773","Radimatrypa"
"774","Rallacosta"
"775","Ravozetina"
"776","Rawdonia"
"777","Reeftonella"
"778","Reeftonia"
"779","Rensselaeria"
"780","Rensselaerina"
"781","Resserella"
"782","Reticularia"
"783","Reticulariina"
"784","Reticulariopsis"
"785","Reticulatrypa"
"786","Retzia"
"787","Retziella"
"788","Reuschella"
"789","Rhenorensselaeria"
"790","Rhenothyris"
"791","Rhipidium"
"792","Rhipidomella"
"793","Rhipidothyris"
"794","Rhynchonella"
"795","Rhynchopora"
"796","Rhynchospirina"
"797","Rhynchotetra"
"798","Rhynchotrema"
"799","Rhynchotreta"
"800","Ripidiorhynchus"
"801","Rochtex"
"802","Rorespirifer"
"803","Rossirhynchus"
"804","Rostranteris"
"805","Rostricellula"
"806","Rostrospirifer"
"807","Rotaia"
"808","Rowleyella"
"809","Rozmanaria"
"810","Rufispirifer"
"811","Rugaltarostrum"
"812","Rugosatrypa"
"813","Ryocarhynchus"
"814","Salopia"
"815","Salopina"
"816","Sarganostega"
"817","Saucrorthis"
"818","Saukrodictya"
"819","Scaphiocoelia"
"820","Scenesia"
"821","Schizonema"
"822","Schizophoria"
"823","Schnurella"
"824","Sedecularia"
"825","Sedenticellula"
"826","Septalaria"
"827","Septatrypa"
"828","Septospirifer"
"829","Septospirigerella"
"830","Septothyris"
"831","Seratrypa"
"832","Sergospirifer"
"833","Shumardella"
"834","Sibirirhynchia"
"835","Sibiritoechia"
"836","Sichuanothyris"
"837","Sicorhyncha"
"838","Sieberella"
"839","Sigmelasma"
"840","Sinopunctatrypa"
"841","Sinorthis"
"842","Sinospirifer"
"843","Sinotectirostrum"
"844","Skelidorygma"
"845","Skenidioides"
"846","Skenidium"
"847","Sokelasma"
"848","Sphaerirhynchia"
"849","Sphenophragmus"
"850","Sphenospira"
"851","Sphenotreta"
"852","Spinatrypa"
"853","Spinatrypina"
"854","Spinocyrtia"
"855","Spinomartinia"
"856","Spinuliplica"
